root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940621119061,efferent,descending,,,putative_primary,left,CV
720575940621121159,efferent,descending,,,LB7,right,CV
720575940621157645,efferent,descending,,,PSp2,right,CV
720575940621181066,efferent,descending,,,MX12,left,CV
720575940621196037,efferent,descending,,,SMPpv1,right,CV
720575940621226484,efferent,descending,,,putative_primary,right,CV
720575940621246068,efferent,descending,,,putative_primary,left,CV
720575940621257340,efferent,descending,,,SMPpv1,left,CV
720575940621270410,efferent,descending,,,PSp2,right,CV
720575940621274845,efferent,descending,,,MX3,right,CV
720575940621294218,efferent,descending,,,,left,CV
720575940621304004,efferent,descending,,,LB7,right,CV
720575940621304723,efferent,descending,,,PSp2,right,CV
720575940621313414,efferent,descending,,,putative_primary,left,CV
720575940621319156,efferent,descending,,,putative_primary,left,CV
720575940621325034,efferent,descending,,,LB12,right,CV
720575940621336852,efferent,descending,,,MX3,right,CV
720575940621339713,efferent,descending,,,LB7,right,CV
720575940621388453,efferent,descending,,,putative_primary,left,CV
720575940621392086,efferent,descending,,,putative_primary,left,CV
720575940621399174,efferent,descending,,,MD3,left,CV
720575940621401222,efferent,descending,,,putative_primary,right,CV
720575940621471157,efferent,descending,,,MX3,right,CV
720575940621519130,efferent,descending,,,WEDd1,right,CV
720575940621530117,efferent,descending,,,putative_primary,right,CV
720575940621534273,efferent,descending,,,LB6,left,CV
720575940621554112,efferent,descending,,,putative_primary,right,CV
720575940621561697,efferent,descending,ocellar,,putative_primary,left,CV
720575940621566844,efferent,descending,,,putative_primary,left,CV
720575940621572890,efferent,descending,,,LB7,left,CV
720575940621586473,efferent,descending,,,LB7,left,CV
720575940621599604,efferent,descending,,,LB7,right,CV
720575940621626394,efferent,descending,,,putative_primary,right,CV
720575940621628582,efferent,descending,,,LB23,left,CV
720575940621629578,efferent,descending,,,PSp2,right,CV
720575940621640885,efferent,descending,,,MX12,right,CV
720575940621667693,efferent,descending,,,putative_primary,left,CV
720575940621700789,efferent,descending,,,LB7,left,CV
720575940621767306,efferent,descending,,,MX12,left,CV
720575940621783628,efferent,descending,,,LB7,left,CV
720575940621801456,efferent,descending,,,MX3,left,CV
720575940621804159,efferent,descending,,,putative_primary,left,CV
720575940621817326,efferent,descending,,,LB6,right,CV
720575940621909739,efferent,descending,,,LB12,right,CV
720575940621923837,efferent,descending,,,putative_primary,left,CV
720575940621947653,efferent,descending,,,MD3,right,CV
720575940622010373,efferent,descending,,,MD0__prim,center,CV
720575940622027222,efferent,descending,,,putative_primary,right,CV
720575940622037926,efferent,descending,,,putative_primary,right,CV
720575940622040419,efferent,descending,,,SMPpv1,left,CV
720575940622042603,efferent,descending,,,LB12,left,CV
720575940622067165,efferent,descending,,,MD3,left,CV
720575940622123400,efferent,descending,,,LB7,left,CV
720575940622147873,efferent,descending,,,putative_primary,left,CV
720575940622160560,efferent,descending,,,MD3,right,CV
720575940622161366,efferent,descending,,,putative_primary,right,CV
720575940622195625,efferent,descending,,,putative_primary,right,CV
720575940622204186,efferent,descending,,,WEDd1,right,CV
720575940622237466,efferent,descending,,,LB0_posterior,center,CV
720575940622248453,efferent,descending,,,putative_primary,left,CV
720575940622263066,efferent,descending,,,MD3,right,CV
720575940622321110,efferent,descending,,,putative_primary,right,CV
720575940622332403,efferent,descending,,,MX12,left,CV
720575940622347784,efferent,descending,,,LB12,left,CV
